type,timestamp,latitude,longitude,peakcurrent,icheight,numbersensors,icmultiplicity,cgmultiplicity,starttime,endtime,duration,ullatitude,ullongitude,lrlatitude,lrlongitude
 0, 2024-05-05T10:32:02.333176136,  27.091760,  87.169065,  17990,    0,   9,   2,   1, 2024-05-05T10:32:02.050330639, 2024-05-05T10:32:02.346448183, 0.296118,  27.057288,  27.091760,  87.164138,  87.208979  
 1, 2024-05-05T10:32:09.042803288,  27.007607,  87.234761,   9171, 16111,   6,   1,   0, 2024-05-05T10:32:09.042803288, 2024-05-05T10:32:09.042803288, 0.000000,  27.007607,  27.007607,  87.234761,  87.234761  
 1, 2024-05-05T10:32:12.759029865,  27.099071,  87.188227,  -2432, 6313,   5,   1,   0, 2024-05-05T10:32:12.759029865, 2024-05-05T10:32:12.759029865, 0.000000,  27.099071,  27.099071,  87.188227,  87.188227  
 1, 2024-05-05T10:33:01.189209461,  26.860502,  87.773400,   3403, 4059,   6,   1,   0, 2024-05-05T10:33:01.189209461, 2024-05-05T10:33:01.189209461, 0.000000,  26.860502,  26.860502,  87.773400,  87.773400  
 0, 2024-05-05T10:33:16.771888971,  27.234374,  86.977017,  -8281,    0,   8,   0,   1, 2024-05-05T10:33:16.771888971, 2024-05-05T10:33:16.771888971, 0.000000,  27.234374,  27.234374,  86.977017,  86.977017  
 1, 2024-05-05T10:33:22.067662477,  26.880494,  87.766558,   4837, 4397,   7,   2,   0, 2024-05-05T10:33:22.063426018, 2024-05-05T10:33:22.067662477, 0.004236,  26.869423,  26.880494,  87.756571,  87.766558  
 1, 2024-05-05T10:33:52.861751318,  27.238802,  86.979116,  -4473, 5374,   6,   2,   0, 2024-05-05T10:33:52.860205412, 2024-05-05T10:33:52.861751318, 0.001546,  27.225660,  27.238802,  86.977761,  86.979116  
 1, 2024-05-05T10:33:54.379770756,  26.872360,  87.780059,   5950, 4330,   8,   1,   0, 2024-05-05T10:33:54.379770756, 2024-05-05T10:33:54.379770756, 0.000000,  26.872360,  26.872360,  87.780059,  87.780059  
 1, 2024-05-05T10:34:09.786845684,  26.874782,  87.767623,   3649, 5088,   5,   1,   0, 2024-05-05T10:34:09.786845684, 2024-05-05T10:34:09.786845684, 0.000000,  26.874782,  26.874782,  87.767623,  87.767623  
 1, 2024-05-05T10:34:12.741831779,  27.301101,  86.717885,  -3585, 5491,   5,   1,   0, 2024-05-05T10:34:12.741831779, 2024-05-05T10:34:12.741831779, 0.000000,  27.301101,  27.301101,  86.717885,  86.717885  
 1, 2024-05-05T10:34:21.601387024,  27.212527,  87.008908,  12028, 18150,   8,   2,   0, 2024-05-05T10:34:21.524814844, 2024-05-05T10:34:21.601387024, 0.076572,  27.212527,  27.219695,  87.008908,  87.021966  
