type,timestamp,latitude,longitude,peakcurrent,icheight,numbersensors,icmultiplicity,cgmultiplicity,starttime,endtime,duration,ullatitude,ullongitude,lrlatitude,lrlongitude
 1, 2024-06-15T20:29:41.348353148,  26.732244,  86.568936,   5447, 3052,   7,   1,   0, 2024-06-15T20:29:41.348353148, 2024-06-15T20:29:41.348353148, 0.000000,  26.732244,  26.732244,  86.568936,  86.568936  
 1, 2024-06-15T20:29:42.975098372,  26.716966,  86.666726,   6729, 16647,   7,   1,   0, 2024-06-15T20:29:42.975098372, 2024-06-15T20:29:42.975098372, 0.000000,  26.716966,  26.716966,  86.666726,  86.666726  
 0, 2024-06-15T20:29:44.378019810,  26.497961,  86.789633, -27347,    0,  13,   0,   1, 2024-06-15T20:29:44.378019810, 2024-06-15T20:29:44.378019810, 0.000000,  26.497961,  26.497961,  86.789633,  86.789633  
 1, 2024-06-15T20:29:44.630759954,  26.631964,  87.051946,   3553, 13609,   5,   1,   0, 2024-06-15T20:29:44.630759954, 2024-06-15T20:29:44.630759954, 0.000000,  26.631964,  26.631964,  87.051946,  87.051946  
 1, 2024-06-15T20:29:46.322705269,  26.766818,  86.682935,  -7652, 11771,  10,   1,   0, 2024-06-15T20:29:46.322705269, 2024-06-15T20:29:46.322705269, 0.000000,  26.766818,  26.766818,  86.682935,  86.682935  
 0, 2024-06-15T20:29:48.831458330,  26.710763,  86.729236, -43219,    0,   8,   3,   8, 2024-06-15T20:29:48.709022522, 2024-06-15T20:29:49.286473751, 0.577451,  26.710763,  26.803019,  86.631111,  86.783377  
 0, 2024-06-15T20:29:50.418851137,  26.572426,  87.879602, -30027,    0,   8,   0,   1, 2024-06-15T20:29:50.418851137, 2024-06-15T20:29:50.418851137, 0.000000,  26.572426,  26.572426,  87.879602,  87.879602  
 0, 2024-06-15T20:29:50.728395700,  26.644330,  87.565101, -32209,    0,  15,   0,   2, 2024-06-15T20:29:50.728395700, 2024-06-15T20:29:50.840476036, 0.112080,  26.643646,  26.644330,  87.564822,  87.565101  
 1, 2024-06-15T20:29:51.147370338,  26.719343,  86.670687,  -5102, 6675,   6,   1,   0, 2024-06-15T20:29:51.147370338, 2024-06-15T20:29:51.147370338, 0.000000,  26.719343,  26.719343,  86.670687,  86.670687  
 1, 2024-06-15T20:29:53.000301123,  26.703902,  86.710743,   8148, 11626,   9,   5,   0, 2024-06-15T20:29:52.560252428, 2024-06-15T20:29:53.381735802, 0.821483,  26.703902,  26.803698,  86.637070,  86.710743  
 0, 2024-06-15T20:29:56.439395905,  26.752235,  86.753820,  39876,    0,  13,   2,   1, 2024-06-15T20:29:55.303507328, 2024-06-15T20:29:56.439395905, 1.135889,  26.749724,  26.821041,  86.685104,  86.753820  
 1, 2024-06-15T20:29:56.256470442,  26.567526,  87.811385,   7338, 3000,   7,   1,   0, 2024-06-15T20:29:56.256470442, 2024-06-15T20:29:56.256470442, 0.000000,  26.567526,  26.567526,  87.811385,  87.811385  
 1, 2024-06-15T20:29:57.131404638,  26.532786,  86.748515,  -2854, 3941,   5,   1,   0, 2024-06-15T20:29:57.131404638, 2024-06-15T20:29:57.131404638, 0.000000,  26.532786,  26.532786,  86.748515,  86.748515  
 0, 2024-06-15T20:29:59.426303148,  26.755521,  86.743148, -25482,    0,  16,   6,   2, 2024-06-15T20:29:58.489644289, 2024-06-15T20:29:59.572969675, 1.083325,  26.717554,  26.770159,  86.666206,  86.744135  
 1, 2024-06-15T20:30:00.361012220,  26.796236,  86.646890,  -5133, 13242,   7,   1,   0, 2024-06-15T20:30:00.361012220, 2024-06-15T20:30:00.361012220, 0.000000,  26.796236,  26.796236,  86.646890,  86.646890  
 1, 2024-06-15T20:30:01.813763857,  26.816579,  86.638894,  13526, 17955,  12,   1,   0, 2024-06-15T20:30:01.813763857, 2024-06-15T20:30:01.813763857, 0.000000,  26.816579,  26.816579,  86.638894,  86.638894  
 1, 2024-06-15T20:30:03.713494778,  26.709909,  86.579552,   5980, 5490,   7,   1,   0, 2024-06-15T20:30:03.713494778, 2024-06-15T20:30:03.713494778, 0.000000,  26.709909,  26.709909,  86.579552,  86.579552  
 1, 2024-06-15T20:30:03.025693178,  26.503366,  86.772704,   3048, 5956,   6,   1,   0, 2024-06-15T20:30:03.025693178, 2024-06-15T20:30:03.025693178, 0.000000,  26.503366,  26.503366,  86.772704,  86.772704  
 0, 2024-06-15T20:30:03.757996559,  26.818036,  86.615517,  25867,    0,  14,   3,   1, 2024-06-15T20:30:03.650851488, 2024-06-15T20:30:04.315105677, 0.664254,  26.734800,  26.829086,  86.615517,  86.687883  
 0, 2024-06-15T20:30:04.428351879,  26.567217,  87.881055, -26881,    0,  11,   0,   4, 2024-06-15T20:30:04.428351879, 2024-06-15T20:30:04.744570255, 0.316218,  26.564160,  26.570117,  87.875045,  87.882473  
 1, 2024-06-15T20:30:05.380188465,  26.583437,  87.508091,  13210, 3064,   8,   1,   0, 2024-06-15T20:30:05.380188465, 2024-06-15T20:30:05.380188465, 0.000000,  26.583437,  26.583437,  87.508091,  87.508091  
 1, 2024-06-15T20:30:06.747671127,  26.780061,  86.705270,  -8210, 18200,   9,   1,   0, 2024-06-15T20:30:06.747671127, 2024-06-15T20:30:06.747671127, 0.000000,  26.780061,  26.780061,  86.705270,  86.705270  
 1, 2024-06-15T20:30:07.166134596,  26.642549,  87.032631,  -3498, 14169,   6,   1,   0, 2024-06-15T20:30:07.166134596, 2024-06-15T20:30:07.166134596, 0.000000,  26.642549,  26.642549,  87.032631,  87.032631  
 0, 2024-06-15T20:30:08.503781319,  26.711663,  86.599860, -24636,    0,  13,   3,   7, 2024-06-15T20:30:07.807914019, 2024-06-15T20:30:09.107154608, 1.299241,  26.670785,  26.743697,  86.578363,  86.677957  
 0, 2024-06-15T20:30:09.411992073,  26.707340,  86.736493, -32980,    0,  16,   0,   5, 2024-06-15T20:30:09.308910847, 2024-06-15T20:30:09.745335579, 0.436425,  26.707340,  26.709448,  86.736493,  86.739099  
 1, 2024-06-15T20:30:11.067550898,  26.530942,  86.738010,  -4571, 3629,   7,   1,   0, 2024-06-15T20:30:11.067550898, 2024-06-15T20:30:11.067550898, 0.000000,  26.530942,  26.530942,  86.738010,  86.738010  
